Date,Series,Value
1997,Spirits,"2,751"
1998,Spirits,"2,741"
1999,Spirits,"2,911"
2000,Spirits,"2,925"
2001,Spirits,"2,925"
2002,Spirits,"2,922"
2003,Spirits,"3,157"
2004,Spirits,"3,079"
2005,Spirits,"3,230"
2006,Spirits,"3,169"
2007,Spirits,"3,346"
2008,Spirits,"3,505"
2009,Spirits,"3,526"
2010,Spirits,"3,739"
2011,Spirits,"4,405"
2012,Spirits,"4,728"
2013,Spirits,"5,246"
2014,Spirits,"5,015"
2015,Spirits,"5,237"
2016,Spirits,"5,263"
2017,Spirits,"5,694"
2018,Spirits,"6,225"
2019,Spirits,"6,230"
2020,Spirits,"7,683"
2021,Spirits,"7,646"
2022,Spirits,"7,070"
2023,Spirits,"7,003"