date,series,value
1997,Spirits,2751
1998,Spirits,2741
1999,Spirits,2911
2000,Spirits,2925
2001,Spirits,2925
2002,Spirits,2922
2003,Spirits,3157
2004,Spirits,3079
2005,Spirits,3230
2006,Spirits,3169
2007,Spirits,3346
2008,Spirits,3505
2009,Spirits,3526
2010,Spirits,3739
2011,Spirits,4405
2012,Spirits,4728
2013,Spirits,5246
2014,Spirits,5015
2015,Spirits,5237
2016,Spirits,5263
2017,Spirits,5694
2018,Spirits,6225
2019,Spirits,6230
2020,Spirits,7683
2021,Spirits,7646
2022,Spirits,7070
2023,Spirits,7003